C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/28/2015,00:00:00,REGULAR,0005065968,0001716046                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/28/2015,04:00:00,REGULAR,0005066006,0001716049                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/28/2015,08:00:00,REGULAR,0005066018,0001716072                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/28/2015,12:00:00,REGULAR,0005066153,0001716183                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/28/2015,16:00:00,REGULAR,0005066453,0001716263                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/28/2015,20:00:00,REGULAR,0005066883,0001716327                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/29/2015,00:00:00,REGULAR,0005067073,0001716368                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/29/2015,04:00:00,REGULAR,0005067111,0001716377                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/29/2015,08:00:00,REGULAR,0005067124,0001716394                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/29/2015,12:00:00,REGULAR,0005067209,0001716469                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/29/2015,16:00:00,REGULAR,0005067424,0001716545                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/29/2015,20:00:00,REGULAR,0005067754,0001716590                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/30/2015,00:00:00,REGULAR,0005067913,0001716616                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/30/2015,04:00:00,REGULAR,0005067921,0001716621                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/30/2015,08:00:00,REGULAR,0005067974,0001716733                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/30/2015,12:00:00,REGULAR,0005068152,0001717028                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/30/2015,16:00:00,REGULAR,0005068491,0001717106                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/30/2015,20:00:00,REGULAR,0005069473,0001717184                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/31/2015,00:00:00,REGULAR,0005069723,0001717224                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/31/2015,04:00:00,REGULAR,0005069736,0001717228                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/31/2015,08:00:00,REGULAR,0005069782,0001717335                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/31/2015,12:00:00,REGULAR,0005069966,0001717610                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/31/2015,16:00:00,REGULAR,0005070298,0001717706                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,03/31/2015,20:00:00,REGULAR,0005071178,0001717791                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,04/01/2015,00:00:00,REGULAR,0005071406,0001717829                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,04/01/2015,04:00:00,REGULAR,0005071427,0001717830                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,04/01/2015,08:00:00,REGULAR,0005071469,0001717952                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,04/01/2015,12:00:00,REGULAR,0005071674,0001718266                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,04/01/2015,16:00:00,REGULAR,0005072019,0001718340                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,04/01/2015,20:00:00,REGULAR,0005072970,0001718429                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,04/02/2015,00:00:00,REGULAR,0005073231,0001718467                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,04/02/2015,04:00:00,REGULAR,0005073256,0001718473                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,04/02/2015,08:00:00,REGULAR,0005073298,0001718578                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,04/02/2015,12:00:00,REGULAR,0005073470,0001718883                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,04/02/2015,16:00:00,REGULAR,0005073848,0001718958                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,04/02/2015,20:00:00,REGULAR,0005074828,0001719027                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,04/03/2015,00:00:00,REGULAR,0005075150,0001719078                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,04/03/2015,04:00:00,REGULAR,0005075184,0001719090                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,04/03/2015,08:00:00,REGULAR,0005075223,0001719142                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,04/03/2015,12:00:00,REGULAR,0005075398,0001719352                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,04/03/2015,16:00:00,REGULAR,0005075832,0001719436                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,04/03/2015,20:00:00,REGULAR,0005076418,0001719497                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/28/2015,00:00:00,REGULAR,0004697689,0001025091                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/28/2015,04:00:00,REGULAR,0004697717,0001025095                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/28/2015,08:00:00,REGULAR,0004697729,0001025110                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/28/2015,12:00:00,REGULAR,0004697842,0001025181                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/28/2015,16:00:00,REGULAR,0004698114,0001025251                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/28/2015,20:00:00,REGULAR,0004698450,0001025304                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/29/2015,00:00:00,REGULAR,0004698587,0001025339                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/29/2015,04:00:00,REGULAR,0004698616,0001025344                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/29/2015,08:00:00,REGULAR,0004698629,0001025355                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/29/2015,12:00:00,REGULAR,0004698710,0001025395                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/29/2015,16:00:00,REGULAR,0004698945,0001025438                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/29/2015,20:00:00,REGULAR,0004699234,0001025467                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/30/2015,00:00:00,REGULAR,0004699368,0001025482                                     
