,date,o,h,l,close,vol,c,lixt,lixc72,lixc288,lixd,lixm
0,2015-06-19,2121.060059,2121.639893,2109.449951,2109.98999,4449810000,2109.98999,3.37153241693,0.0,0.0,-2.61936157337,1
1,2015-06-18,2101.580078,2126.649902,2101.580078,2121.23999,3520360000,2121.23999,3.95090094306,0.0,0.0,-3.16660152774,1
2,2015-06-17,2097.399902,2106.790039,2088.860107,2100.439941,3222240000,2100.439941,3.01248675988,0.0,0.0,-2.24636749341,1
3,2015-06-16,2084.26001,2097.399902,2082.100098,2096.290039,2919900000,2096.290039,2.82926318626,0.0,0.0,-2.08012662483,1
4,2015-06-15,2091.340088,2091.340088,2072.48999,2084.429932,3061570000,2084.429932,2.32983656661,0.0,0.270720824894,-1.54988902206,0
5,2015-06-12,2107.429932,2107.429932,2091.330078,2094.110107,2719400000,2094.110107,2.79812556878,0.0,0.0,-2.02373063071,1
6,2015-06-11,2106.23999,2115.02002,2106.23999,2108.860107,3128600000,2108.860107,3.43352257943,0.0,0.0,-2.72733882014,1
7,2015-06-10,2081.120117,2108.5,2081.120117,2105.199951,3414320000,2105.199951,3.24663850011,0.0,0.0,-2.58851904271,1
8,2015-06-09,2079.070068,2085.620117,2072.139893,2080.149902,3034580000,2080.149902,1.95977174257,0.0,0.381392554264,-1.44395838256,0
9,2015-06-08,2092.340088,2093.01001,2079.110107,2079.280029,2917150000,2079.280029,1.90325299908,0.0,0.399325641409,-1.42006380089,0
10,2015-06-05,2095.090088,2100.98999,2085.669922,2092.830078,3243690000,2092.830078,2.5236707275,0.451289267109,0.451289267109,-2.07431912368,1
11,2015-06-04,2112.350098,2112.889893,2093.22998,2095.840088,3200050000,2095.840088,2.73361120331,0.275402594512,0.275402594512,-2.24035409703,1
12,2015-06-03,2110.639893,2121.919922,2109.610107,2114.070068,3099980000,2114.070068,3.87049483078,0.0,0.0,-3.1146682625,1
13,2015-06-02,2110.409912,2117.590088,2099.139893,2109.600098,3049350000,2109.600098,3.7400030478,0.0,0.0,-2.94602954246,1
14,2015-06-01,2108.639893,2119.149902,2102.540039,2111.72998,3011710000,2111.72998,3.82150462482,0.0,0.0,-3.07270121369,1
15,2015-05-29,2120.659912,2120.659912,2104.889893,2107.389893,3927390000,2107.389893,3.618315122,0.0,0.0,-2.90496492471,1
16,2015-05-28,2122.27002,2122.27002,2112.860107,2120.790039,2980350000,2120.790039,4.28603188578,0.0,0.0,-3.54754563224,1
17,2015-05-27,2105.129883,2126.219971,2105.129883,2123.47998,3127960000,2123.47998,4.33974977446,0.0,0.0,-3.70381972626,1
18,2015-05-26,2125.340088,2125.340088,2099.179932,2104.199951,3342130000,2104.199951,3.24559582122,0.0,0.0,-2.85856952731,1
19,2015-05-22,2130.360107,2132.149902,2126.060059,2126.060059,2571860000,2126.060059,4.33681763181,0.0,0.0,-3.89118277313,1
