TRADE_DT,UNDLY,CLS,EXPR_DT,STRK_PRC,PC,OIT,VOL,HIGH,LOW,OPEN,LAST,L_BID,L_ASK,UNDL_PRC,S_TYPE,P_TYPE
20140303,SPX,SPX,20140322,150.0000,C,1425.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1691.6000,1694.1000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,200.0000,C,1712.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1641.6000,1644.1000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,250.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1591.6000,1594.1000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,300.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1541.6000,1544.1000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,350.0000,C,1425.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1491.6000,1494.1000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,400.0000,C,1695.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1441.6000,1444.1000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,450.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1391.6000,1394.1000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,500.0000,C,2372.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1341.6000,1344.1000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,550.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1291.7000,1294.2000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,600.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1241.7000,1244.2000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,650.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1191.7000,1194.2000,1845.7300,Standard,Index
