,nominations,oscars,theaters,title,worldgross,year
0,2,0,4223,Shrek 2,919838758,2004-12-31 00:00:00
1,3,1,4166,Spider-Man 2,783766341,2004-12-31 00:00:00
2,3,0,3408,The Passion of the Christ,611899420,2004-12-31 00:00:00
3,4,2,3933,The Incredibles,631442092,2004-12-31 00:00:00
4,2,0,3855,Harry Potter and the Prisoner of Azkaban,796688549,2004-12-31 00:00:00
5,3,0,3650,The Polar Express,307514317,2004-12-31 00:00:00
6,1,0,4070,Shark Tale,367275019,2004-12-31 00:00:00
7,1,0,3494,"I, Robot",347234916,2004-12-31 00:00:00
8,1,0,3411,Troy,497409852,2004-12-31 00:00:00
9,4,1,3623,Lemony Snicket's A Series of Unfortunate Events,209073645,2004-12-31 00:00:00
10,1,0,3733,The Village,256697520,2004-12-31 00:00:00
11,11,5,2530,The Aviator,213741459,2004-12-31 00:00:00
12,2,0,3205,Collateral,217764291,2004-12-31 00:00:00
13,7,4,2375,Million Dollar Baby,216763646,2004-12-31 00:00:00
14,6,2,2474,Ray,124731534,2004-12-31 00:00:00
15,5,1,1786,Sideways,109706931,2004-12-31 00:00:00
16,1,0,2175,Hero,177394432,2004-12-31 00:00:00
17,7,1,1411,Finding Neverland,116766556,2004-12-31 00:00:00
18,3,0,1515,The Phantom of the Opera,154648887,2004-12-31 00:00:00
19,2,1,1357,Eternal Sunshine of the Spotless Mind,72258126,2004-12-31 00:00:00
20,2,0,1098,Closer,115505027,2004-12-31 00:00:00
21,3,0,824,Hotel Rwanda,33882243,2004-12-31 00:00:00
22,2,1,272,The Motorcycle Diaries,57663224,2004-12-31 00:00:00
23,1,0,230,Super Size Me,20641054,2004-12-31 00:00:00
24,1,0,1189,House of Flying Daggers,92863945,2004-12-31 00:00:00
25,1,0,588,Kinsey,16918723,2004-12-31 00:00:00
26,1,0,328,Being Julia,14339171,2004-12-31 00:00:00
27,1,0,127,Maria Full of Grace,12594630,2004-12-31 00:00:00
28,2,0,219,A Very Long Engagement,70115868,2004-12-31 00:00:00
29,1,0,204,Before Sunset,15992615,2004-12-31 00:00:00
30,3,0,97,Vera Drake,13267869,2004-12-31 00:00:00
31,1,1,127,Born Into Brothels,3515061,2004-12-31 00:00:00
32,2,1,99,The Sea Inside,38535221,2004-12-31 00:00:00
33,1,0,55,The Story of the Weeping Camel,9328652,2004-12-31 00:00:00
34,1,0,16,Twilight Samurai,7338987,2004-12-31 00:00:00
35,1,0,21,Zelary,15461305,2004-12-31 00:00:00
36,1,0,3663,Star Wars: Episode III - Revenge of the Sith,848754768,2005-12-31 00:00:00
37,3,1,3853,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",745013115,2005-12-31 00:00:00
38,1,0,3858,Harry Potter and the Goblet of Fire,896911078,2005-12-31 00:00:00
39,3,0,3910,War of the Worlds,591745540,2005-12-31 00:00:00
40,4,3,3627,King Kong,550517357,2005-12-31 00:00:00
41,1,0,3790,Charlie and the Chocolate Factory,474968763,2005-12-31 00:00:00
42,1,0,3858,Batman Begins,374218673,2005-12-31 00:00:00
43,5,1,3160,Walk the Line,186438883,2005-12-31 00:00:00
44,8,3,2089,Brokeback Mountain,178062759,2005-12-31 00:00:00
45,1,1,2506,March of the Penguins,127392693,2005-12-31 00:00:00
46,3,0,2820,Cinderella Man,108539911,2005-12-31 00:00:00
47,6,3,1654,Memoirs of a Geisha,162242962,2005-12-31 00:00:00
48,1,1,3656,Wallace and Gromit: The Curse of the Were-Rabbit,192610372,2005-12-31 00:00:00
49,6,3,1905,Crash,98410061,2005-12-31 00:00:00
50,1,0,3204,Tim Burton's Corpse Bride,117195061,2005-12-31 00:00:00
51,2,1,1775,Syriana,93974620,2005-12-31 00:00:00
52,5,0,1498,Munich,130358911,2005-12-31 00:00:00
53,4,0,1335,Pride and Prejudice,121147947,2005-12-31 00:00:00
54,4,1,1387,The Constant Gardener,82466670,2005-12-31 00:00:00
55,6,0,929,"Good Night, and Good Luck.",54641191,2005-12-31 00:00:00
