,nominations,oscars,theaters,title,worldgross,year
0,3,0,3126,Star Wars: Episode I - The Phantom Menace,1027044677,1999-12-31 00:00:00
1,6,0,2821,The Sixth Sense,672806292,1999-12-31 00:00:00
2,1,0,3257,Toy Story 2,485015179,1999-12-31 00:00:00
3,1,0,3314,Austin Powers: The Spy Who Shagged Me,312016858,1999-12-31 00:00:00
4,4,4,2903,The Matrix,463517383,1999-12-31 00:00:00
5,1,1,3131,Tarzan,448191819,1999-12-31 00:00:00
6,1,0,3411,The Mummy,415933406,1999-12-31 00:00:00
7,1,0,3151,Stuart Little,300135367,1999-12-31 00:00:00
8,4,0,2875,The Green Mile,286801374,1999-12-31 00:00:00
9,8,5,1990,American Beauty,356296601,1999-12-31 00:00:00
10,3,1,3069,Sleepy Hollow,206071502,1999-12-31 00:00:00
11,5,0,2369,The Talented Mr. Ripley,128798265,1999-12-31 00:00:00
12,1,0,2613,Life,73345029,1999-12-31 00:00:00
13,1,0,2767,Bicentennial Man,87423861,1999-12-31 00:00:00
14,7,2,1738,The Cider House Rules,88545092,1999-12-31 00:00:00
15,1,0,2128,"South Park - Bigger, Longer and Uncut",83137603,1999-12-31 00:00:00
16,1,0,2148,The Hurricane,73956241,1999-12-31 00:00:00
17,2,0,2132,Anna and the King,113996937,1999-12-31 00:00:00
18,1,0,1966,Fight Club,100853753,1999-12-31 00:00:00
19,7,0,1844,The Insider,60289912,1999-12-31 00:00:00
20,1,1,1935,"Girl, Interrupted",48350205,1999-12-31 00:00:00
21,3,0,630,Being John Malkovich,22863596,1999-12-31 00:00:00
22,3,0,1086,Magnolia,48451803,1999-12-31 00:00:00
23,2,0,1353,Music of the Heart,14859394,1999-12-31 00:00:00
24,1,0,1155,Snow Falling on Cedars,23049593,1999-12-31 00:00:00
25,1,1,145,All About My Mother,67872296,1999-12-31 00:00:00
26,1,0,74,Buena Vista Social Club,23002182,1999-12-31 00:00:00
27,1,0,186,The Straight Story,6203044,1999-12-31 00:00:00
28,2,0,239,Sweet and Lowdown,4197015,1999-12-31 00:00:00
29,1,0,35,Titus,2007290,1999-12-31 00:00:00
30,3,1,3256,How the Grinch Stole Christmas,345141403,2000-12-31 00:00:00
31,2,0,3061,Cast Away,429632142,2000-12-31 00:00:00
32,12,5,3188,Gladiator,457640427,2000-12-31 00:00:00
33,2,0,3407,The Perfect Storm,328718434,2000-12-31 00:00:00
34,1,0,2697,Meet the Parents,330444045,2000-12-31 00:00:00
35,10,4,2027,"Crouching Tiger, Hidden Dragon",213525736,2000-12-31 00:00:00
36,5,1,3070,Erin Brockovich,256271286,2000-12-31 00:00:00
37,5,4,1755,Traffic,207515725,2000-12-31 00:00:00
38,3,0,3061,The Patriot,215294342,2000-12-31 00:00:00
39,1,0,2835,Space Cowboys,128884132,2000-12-31 00:00:00
40,1,0,2887,The Emperor's New Groove,169327687,2000-12-31 00:00:00
41,2,1,2820,U-571,127666415,2000-12-31 00:00:00
42,1,0,2956,Hollow Man,190213455,2000-12-31 00:00:00
43,5,0,1928,Chocolat,152699946,2000-12-31 00:00:00
44,1,0,2704,102 Dalmatians,183611771,2000-12-31 00:00:00
45,1,0,2476,The Cell,104155843,2000-12-31 00:00:00
46,2,0,847,"O Brother, Where Art Thou?",71868327,2000-12-31 00:00:00
47,4,1,2262,Almost Famous,47383689,2000-12-31 00:00:00
48,3,0,510,Billy Elliot,109280263,2000-12-31 00:00:00
49,3,1,1509,Wonder Boys,33426588,2000-12-31 00:00:00
50,2,0,1639,The Contender,22361811,2000-12-31 00:00:00
51,2,0,150,You Can Count on Me,11009079,2000-12-31 00:00:00
52,2,1,280,Pollock,10558970,2000-12-31 00:00:00
53,2,0,513,Shadow of the Vampire,11155214,2000-12-31 00:00:00
54,3,0,223,Quills,17989227,2000-12-31 00:00:00
55,1,0,127,Before Night Falls,8527517,2000-12-31 00:00:00
56,1,0,126,Dancer in the Dark,40031879,2000-12-31 00:00:00
57,1,0,93,Requiem for a Dream,7390108,2000-12-31 00:00:00
58,2,0,117,Malena,14493284,2000-12-31 00:00:00
59,1,0,70,East-West,6031521,2000-12-31 00:00:00
60,1,0,14,The Taste of Others,1021938,2000-12-31 00:00:00
61,1,0,5,Himalaya l'enfance d'un chef,132007,2000-12-31 00:00:00
62,1,0,2,Vatel,51080,2000-12-31 00:00:00
63,3,0,3672,Harry Potter and the Sorcerer's Stone,974755371,2001-12-31 00:00:00
64,13,4,3381,The Lord of the Rings: The Fellowship of the Ring,871530324,2001-12-31 00:00:00
65,1,0,3715,Shrek,484409218,2001-12-31 00:00:00
66,3,1,3649,"Monsters, Inc.",562816256,2001-12-31 00:00:00
67,4,1,3255,Pearl Harbor,449220945,2001-12-31 00:00:00
68,8,4,2250,A Beautiful Mind,313542341,2001-12-31 00:00:00
69,4,2,3143,Black Hawk Down,172989651,2001-12-31 00:00:00
70,1,0,2842,Vanilla Sky,203388341,2001-12-31 00:00:00
71,2,0,3242,A.I. Artificial Intelligence,235926552,2001-12-31 00:00:00
72,2,1,2712,Training Day,104876233,2001-12-31 00:00:00
73,1,0,2547,Bridget Jones's Diary,281929795,2001-12-31 00:00:00
74,2,0,2521,Ali,87713825,2001-12-31 00:00:00
75,8,2,2283,Moulin Rouge!,179213434,2001-12-31 00:00:00
76,1,0,999,The Royal Tenenbaums,71441250,2001-12-31 00:00:00
77,1,0,2467,Kate and Leopold,76019048,2001-12-31 00:00:00
78,7,1,918,Gosford Park,87754044,2001-12-31 00:00:00
79,1,0,1450,I Am Sam,97818139,2001-12-31 00:00:00
80,5,0,1103,In the Bedroom,43368779,2001-12-31 00:00:00
81,4,0,303,Amelie,173921954,2001-12-31 00:00:00
82,2,1,714,Monster's Ball,44909486,2001-12-31 00:00:00
83,2,0,531,Memento,39723096,2001-12-31 00:00:00
84,1,0,259,The Man Who Wasn't There,18916623,2001-12-31 00:00:00
85,1,0,247,Mulholland Drive,20117339,2001-12-31 00:00:00
86,1,0,194,Sexy Beast,10045677,2001-12-31 00:00:00
87,1,0,128,Ghost World,8764007,2001-12-31 00:00:00
88,3,1,220,Iris,16153953,2001-12-31 00:00:00
89,1,0,187,Amores Perros,20908467,2001-12-31 00:00:00
90,1,0,37,Divided We Fall,1830938,2001-12-31 00:00:00
91,1,0,40,The Affair of the Necklace,471210,2001-12-31 00:00:00
92,1,0,11,Everybody's Famous!,81734,2001-12-31 00:00:00
93,2,0,3876,Spider-Man,821708551,2002-12-31 00:00:00
94,6,2,3622,The Lord of the Rings: The Two Towers,926047111,2002-12-31 00:00:00
95,1,0,3161,Star Wars: Episode II - Attack of the Clones,649398328,2002-12-31 00:00:00
96,1,0,2016,My Big Fat Greek Wedding,368744044,2002-12-31 00:00:00
97,1,0,3345,Ice Age,383257136,2002-12-31 00:00:00
98,13,6,2701,Chicago,306776732,2002-12-31 00:00:00
99,2,0,3225,Catch Me If You Can,352114312,2002-12-31 00:00:00
100,1,0,3222,Lilo & Stitch,273144151,2002-12-31 00:00:00
101,1,0,3001,Minority Report,358372926,2002-12-31 00:00:00
102,1,1,2585,8 Mile,242875078,2002-12-31 00:00:00
103,6,1,2332,Road to Perdition,181001478,2002-12-31 00:00:00
104,10,0,2340,Gangs of New York,193772504,2002-12-31 00:00:00
105,1,0,3362,Spirit: Stallion of the Cimarron,122563539,2002-12-31 00:00:00
106,2,0,1240,About Schmidt,105834556,2002-12-31 00:00:00
107,1,0,2958,The Time Machine,123729176,2002-12-31 00:00:00
108,1,0,2625,Unfaithful,119137784,2002-12-31 00:00:00
109,9,1,1010,The Hours,108846072,2002-12-31 00:00:00
110,1,0,1756,About a Boy,130549455,2002-12-31 00:00:00
111,1,0,3012,The Wild Thornberrys,60694737,2002-12-31 00:00:00
112,1,0,3227,Treasure Planet,109578115,2002-12-31 00:00:00
113,7,3,842,The Pianist,120072577,2002-12-31 00:00:00
114,6,2,794,Frida,56298474,2002-12-31 00:00:00
115,4,1,672,Adaptation.,32801173,2002-12-31 00:00:00
116,1,1,248,Bowling for Columbine,58008423,2002-12-31 00:00:00
117,4,0,291,Far From Heaven,29027914,2002-12-31 00:00:00
118,1,0,286,Y Tu Mama Tambien,33616692,2002-12-31 00:00:00
119,1,0,396,The Quiet American,27674124,2002-12-31 00:00:00
120,1,1,714,Spirited Away,274925095,2002-12-31 00:00:00
121,2,1,255,Talk to Her,51001550,2002-12-31 00:00:00
122,1,0,137,El Crimen del Padre Amaro,26996738,2002-12-31 00:00:00
123,11,11,3703,The Lord of the Rings: The Return of the King,1119929521,2003-12-31 00:00:00
124,4,1,3425,Finding Nemo,936743261,2003-12-31 00:00:00
125,5,0,3416,Pirates of the Caribbean: The Curse of the Black Pearl,654264015,2003-12-31 00:00:00
126,1,0,2876,Something's Gotta Give,266728738,2003-12-31 00:00:00
127,7,0,2573,Seabiscuit,148336445,2003-12-31 00:00:00
128,4,0,2938,The Last Samurai,456758981,2003-12-31 00:00:00
129,7,1,2802,Cold Mountain,173013509,2003-12-31 00:00:00
130,10,2,3101,Master and Commander: The Far Side of the World,212011111,2003-12-31 00:00:00
131,6,2,1581,Mystic River,156822020,2003-12-31 00:00:00
132,1,0,3030,Brother Bear,250397798,2003-12-31 00:00:00
133,1,0,2514,Big Fish,122919055,2003-12-31 00:00:00
134,4,1,882,Lost in Translation,119723856,2003-12-31 00:00:00
135,1,1,1093,Monster,60378584,2003-12-31 00:00:00
136,1,0,556,Whale Rider,41442113,2003-12-31 00:00:00
137,1,0,770,A Mighty Wind,18750246,2003-12-31 00:00:00
138,2,0,411,21 Grams,60427839,2003-12-31 00:00:00
139,3,0,403,In America,25382911,2003-12-31 00:00:00
140,3,0,598,House of Sand and Fog,16942795,2003-12-31 00:00:00
141,3,0,402,Girl with a Pearl Earring,31466789,2003-12-31 00:00:00
142,1,0,202,Winged Migration,32257753,2003-12-31 00:00:00
143,1,0,408,The Cooler,10464788,2003-12-31 00:00:00
144,1,0,493,Dirty Pretty Things,13904766,2003-12-31 00:00:00
145,1,0,804,Tupac: Resurrection,7808524,2003-12-31 00:00:00
146,4,0,242,City of God,30641770,2003-12-31 00:00:00
147,2,0,463,The Triplets of Belleville,14776760,2003-12-31 00:00:00
148,1,1,78,Nowhere in Africa,24352725,2003-12-31 00:00:00
149,1,0,272,American Splendor,7986084,2003-12-31 00:00:00
150,1,0,117,Spellbound,7457710,2003-12-31 00:00:00
151,1,0,243,Thirteen,10128960,2003-12-31 00:00:00
152,1,1,261,The Fog of War,5038841,2003-12-31 00:00:00
153,2,1,139,The Barbarian Invasions,26924656,2003-12-31 00:00:00
154,1,0,78,Capturing the Friedmans,4076990,2003-12-31 00:00:00
155,1,0,39,My Architect,2750707,2003-12-31 00:00:00
156,1,0,101,Pieces of April,3272028,2003-12-31 00:00:00
157,1,0,31,The Man Without a Past,9564237,2003-12-31 00:00:00
158,1,0,4,Zus & Zo,49468,2003-12-31 00:00:00
159,1,0,1,Balseros,16783,2003-12-31 00:00:00
160,2,0,4223,Shrek 2,919838758,2004-12-31 00:00:00
161,3,1,4166,Spider-Man 2,783766341,2004-12-31 00:00:00
162,3,0,3408,The Passion of the Christ,611899420,2004-12-31 00:00:00
163,4,2,3933,The Incredibles,631442092,2004-12-31 00:00:00
164,2,0,3855,Harry Potter and the Prisoner of Azkaban,796688549,2004-12-31 00:00:00
165,3,0,3650,The Polar Express,307514317,2004-12-31 00:00:00
166,1,0,4070,Shark Tale,367275019,2004-12-31 00:00:00
167,1,0,3494,"I, Robot",347234916,2004-12-31 00:00:00
168,1,0,3411,Troy,497409852,2004-12-31 00:00:00
169,4,1,3623,Lemony Snicket's A Series of Unfortunate Events,209073645,2004-12-31 00:00:00
170,1,0,3733,The Village,256697520,2004-12-31 00:00:00
171,11,5,2530,The Aviator,213741459,2004-12-31 00:00:00
172,2,0,3205,Collateral,217764291,2004-12-31 00:00:00
173,7,4,2375,Million Dollar Baby,216763646,2004-12-31 00:00:00
174,6,2,2474,Ray,124731534,2004-12-31 00:00:00
175,5,1,1786,Sideways,109706931,2004-12-31 00:00:00
176,1,0,2175,Hero,177394432,2004-12-31 00:00:00
177,7,1,1411,Finding Neverland,116766556,2004-12-31 00:00:00
178,3,0,1515,The Phantom of the Opera,154648887,2004-12-31 00:00:00
179,2,1,1357,Eternal Sunshine of the Spotless Mind,72258126,2004-12-31 00:00:00
180,2,0,1098,Closer,115505027,2004-12-31 00:00:00
